SEX;SCORED_1_LINE;SCORED_2_LINE;SCORED;DEFENCE_0;DEFENCE_1;DEFENCE_2;DEFENCE_3;DEFENCE;GIVEN_POINT;FRAME;LANDING;LINE;OTHER_ERRORS;OVERTURNING_FAILED;ENGAGE_FAILED;SWITCH_FAILED;CONSTRUCTION_FAILED;OTHER_FOULS;FOUL;TOTAL_SHOT_1_LINE;TOTAL_SHOT_2_LINE;TOTAL_SHOT;%SHOT_SCORED_1_LINE;%SHOT_SCORED_2_LINE;%SHOT_SCORED;CAUGHT_1_LINE;CAUGHT_2_LINE;DEFENSIVE_TOUCH;CAUGHT;DROPPED;TOTAL_DEFENCE;%SHOT_DEFENDED;MIN;PPM;DPM;TRUE_POINTS;TPPM;%TRUE_SHOT_SCORED;POINT_ON_TEAM;DEFENCE_ON _TEAM;TRUE_POINT_ON_TEAM;VAL_OFF;VAL_DEF;VAL;VALPM;VAL_ON_TEAM;ROLE
1;;;3;;;;;0;0;;;;;;;;;;0;;;;;;100;;;;8;5;;50;;;;;;;;;;;;;;;Pivot
1;;;7;;;;;4;2;;;;;;;;;;1;;;;;;53;;;;2;2;;;;;;;;;;;;;;;;;Wing
1;;;4;;;;;2;0;;;;;;;;;;1;;;;;;66;;;;4;;;100;;;;;;;;;;;;;;;Wing
1;;;4;;;;;2;0;;;;;;;;;;1;;;;;;66;;;;2;0;;100;;;;;;;;;;;;;;;Wing
1;;;0;;;;;2;0;;;;;;;;;;2;;;;;;0;;;;2;7;;22;;;;;;;;;;;;;;;Pivot
1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;4;2;;30;;;;;;;;;;;;;;;Pivot
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;Wing
1;;;3;;;;;12;0;;;;;;;;;;0;;;;;;20;;;;4;7;;36;;;;;;;;;;;;;;;Wing
1;;;4;;;;;6;0;;;;;;;;;;1;;;;;;40;;;;2;4;;33;;;;;;;;;;;;;;;Wing
1;;;1;;;;;3;0;;;;;;;;;;2;;;;;;25;;;;1;2;;33;;;;;;;;;;;;;;;Wing
1;;;3;;;;;8;0;;;;;;;;;;2;;;;;;27;;;;1;8;;11;;;;;;;;;;;;;;;Wing
1;;;7;;;;;4;0;;;;;;;;;;3;;;;;;63;;;;0;2;;0;;;;;;;;;;;;;;;Wing
1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;3;;;;;;;;;;;;;;;;;Pivot
0;;;1;;;;;0;0;;;;;;;;;;0;;;;;;100;;;;3;2;;60;;;;;;;;;;;;;;;Wing
0;;;1;;;;;3;1;;;;;;;;;;2;;;;;;25;;;;7;9;;43;;;;;;;;;;;;;;;Pivot
0;;;0;;;;;1;0;;;;;;;;;;0;;;;;;0;;;;4;;;57;;;;;;;;;;;;;;;Pivot
0;;;6;;;;;2;1;;;;;;;;;;1;;;;;;75;;;;6;7;;46;;;;;;;;;;;;;;;Wing
0;;;12;;;;;7;0;;;;;;;;;;2;;;;;;63;;;;6;4;;60;;;;;;;;;;;;;;;Wing
0;;;8;;;;;7;1;;;;;;;;;;4;;;;;;53;;;;2;9;;18;;;;;;;;;;;;;;;Wing
